timestamp,nodeId,neighborCount,minDistance
6.4,93,4,34.6752
6.4,94,0,352.78
6.4,95,3,1.35473
6.4,96,5,43.6289
6.4,97,8,1.73072
6.4,98,2,5.49401
6.4,99,2,191.504
6.4,100,1,224.008
6.4,101,0,271.022
6.4,102,5,108.179
6.4,103,4,175.153
6.4,104,3,2.46173
6.4,105,4,3.23543
6.4,106,2,4.17164
6.4,107,2,210.651
6.4,108,4,34.6752
6.4,109,5,54.5065
6.4,110,2,1.35695
6.4,111,4,99.0557
6.4,112,8,3.98935
6.4,113,3,23.2549
6.4,114,3,132.788
6.4,115,5,54.5065
6.4,116,1,86.3256
6.4,117,10,45.5991
6.4,118,2,5.49401
6.4,119,3,172.755
6.4,120,3,6.12719
6.4,121,3,151.519
6.4,122,8,42.0313
6.4,123,5,36.881
6.4,124,8,3.98935
6.4,125,6,172.658
6.4,126,6,1.44101
6.4,127,5,50.7467
6.4,128,7,147.262
6.4,129,3,72.5593
6.4,130,5,43.6289
6.4,131,6,1.79805
6.6,0,4,105.219
6.6,1,2,1.44003
6.6,2,7,36.881
6.6,3,8,25.2548
6.6,4,5,107.52
6.6,5,7,93.5823
6.6,6,5,156.74
6.6,7,8,132.288
6.6,8,2,51.0006
6.6,9,2,132.134
6.6,10,3,1.36682
6.6,11,2,1.35695
6.6,12,4,18.2263
6.6,13,4,48.5988
6.6,14,4,118.439
6.6,15,5,77.6631
6.6,16,4,19.0349
6.6,17,5,21.4699
6.6,18,3,93.392
6.6,19,1,0.310161
6.6,20,2,1.44003
6.6,21,4,3.38492
6.6,22,2,3.32728
6.6,23,8,42.0313
6.6,24,1,188.198
6.6,25,2,25.8931
6.6,26,4,145.109
6.6,27,4,4.10844
6.6,28,3,2.78442
6.6,29,4,65.6021
6.6,30,4,184.811
6.6,31,6,77.6631
6.6,32,5,129.986
6.6,33,2,25.8931
6.6,34,2,31.6699
6.6,35,5,176.588
6.6,36,4,3.38492
6.6,37,4,12.8411
6.6,38,4,4.10844
6.6,39,8,36.477
6.6,40,0,318.522
6.6,41,3,9.57056
6.6,42,5,30.1514
6.6,43,2,31.6699
6.6,44,3,1.35473
6.6,45,0,410.079
6.6,46,6,30.1514
6.6,47,6,85.8459
6.6,48,1,225.878
6.6,49,4,3.23543
6.6,50,7,122.117
6.6,51,6,1.69532
6.6,52,4,18.1365
6.6,53,5,21.4699
6.6,54,3,3.32555
6.6,55,1,86.3256
6.6,56,1,4.09766
6.6,57,3,23.2549
6.6,58,6,93.5823
6.6,59,3,1.36682
6.6,60,2,3.32728
6.6,61,5,100.935
6.6,62,1,4.09766
6.6,63,4,18.2263
6.6,64,2,4.17164
6.6,65,4,18.1365
6.6,66,0,480.876
6.6,67,4,12.8411
6.6,68,8,49.0729
6.6,69,6,1.69532
6.6,70,5,2.77418
6.6,71,4,28.322
6.6,72,4,19.0349
6.6,73,3,2.46173
6.6,74,7,43.2732
6.6,75,10,36.477
6.6,76,0,352.78
6.6,77,6,132.788
6.6,78,4,28.322
6.6,79,10,19.18
6.6,80,8,1.73072
6.6,81,1,0.310161
6.6,82,2,224.324
6.6,83,7,85.8459
6.6,84,5,2.77418
6.6,85,3,93.392
6.6,86,4,125.812
6.6,87,5,89.1215
6.6,88,6,1.44101
6.6,89,5,61.1801
6.6,90,1,224.008
6.6,91,8,98.6634
6.6,92,4,48.9402
6.6,93,4,34.6752
6.6,94,0,352.78
6.6,95,3,1.35473
6.6,96,5,43.6289
6.6,97,8,1.73072
6.6,98,2,5.49401
6.6,99,2,191.504
6.6,100,1,224.008
6.6,101,0,271.022
6.6,102,5,108.179
6.6,103,4,175.153
6.6,104,3,2.46173
6.6,105,4,3.23543
6.6,106,2,4.17164
6.6,107,2,210.651
6.6,108,4,34.6752
6.6,109,5,54.5065
6.6,110,2,1.35695
6.6,111,4,99.0557
6.6,112,8,3.98935
6.6,113,3,23.2549
6.6,114,3,132.788
6.6,115,5,54.5065
6.6,116,1,86.3256
6.6,117,10,45.5991
6.6,118,2,5.49401
6.6,119,3,172.755
6.6,120,3,6.12719
6.6,121,3,151.519
6.6,122,8,42.0313
6.6,123,5,36.881
6.6,124,8,3.98935
6.6,125,6,172.658
6.6,126,6,1.44101
6.6,127,5,50.7467
6.6,128,7,147.262
6.6,129,3,72.5593
6.6,130,5,43.6289
6.6,131,6,1.79805
6.8,0,4,105.219
6.8,1,2,1.44003
6.8,2,7,36.881
6.8,3,8,25.2548
6.8,4,5,107.52
6.8,5,7,93.5823
6.8,6,5,156.74
6.8,7,8,132.288
6.8,8,2,51.0006
6.8,9,2,132.134
6.8,10,3,1.36682
6.8,11,2,1.35695
6.8,12,4,18.2263
6.8,13,4,48.5988
6.8,14,4,118.439
6.8,15,5,77.6631
6.8,16,4,19.0349
6.8,17,5,21.4699
6.8,18,3,93.392
6.8,19,1,0.310161
6.8,20,2,1.44003
6.8,21,4,3.38492
6.8,22,2,3.32728
6.8,23,8,42.0313
6.8,24,1,188.198
6.8,25,2,25.8931
6.8,26,4,145.109
6.8,27,4,4.10844
6.8,28,3,2.78442
6.8,29,4,65.6021
6.8,30,4,184.811
6.8,31,6,77.6631
6.8,32,5,129.986
6.8,33,2,25.8931
6.8,34,2,31.6699
6.8,35,5,176.588
6.8,36,4,3.38492
6.8,37,4,12.8411
6.8,38,4,4.10844
6.8,39,8,36.477
6.8,40,0,318.522
6.8,41,3,9.57056
6.8,42,5,30.1514
6.8,43,2,31.6699
6.8,44,3,1.35473
6.8,45,0,410.079
6.8,46,6,30.1514
6.8,47,6,85.8459
6.8,48,1,225.878
6.8,49,4,3.23543
6.8,50,7,122.117
6.8,51,6,1.69532
