t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
586.0,591.0,5000,100,25.0,0.0,73.56,,highway,density-100
591.0,596.0,5000,100,25.0,0.0,73.56,,highway,density-100
596.0,601.0,5000,100,25.0,0.0,73.56,,highway,density-100
601.0,606.0,5000,100,25.0,0.0,73.56,,highway,density-100
606.0,611.0,5000,100,25.0,0.0,73.56,,highway,density-100
611.0,616.0,5000,100,25.0,0.0,73.56,,highway,density-100
616.0,621.0,5000,100,25.0,0.0,73.56,,highway,density-100
621.0,626.0,5000,100,25.0,0.0,73.56,,highway,density-100
626.0,631.0,5000,100,25.0,0.0,73.56,,highway,density-100
631.0,636.0,5000,100,25.0,0.0,73.56,,highway,density-100
636.0,641.0,5000,100,25.0,0.0,73.56,,highway,density-100
641.0,646.0,5000,100,25.0,0.0,73.56,,highway,density-100
646.0,651.0,5000,100,25.0,0.0,73.56,,highway,density-100
651.0,656.0,5000,100,25.0,0.0,73.56,,highway,density-100
656.0,661.0,5000,100,25.0,0.0,73.56,,highway,density-100
661.0,666.0,5000,100,25.0,0.0,73.56,,highway,density-100
666.0,671.0,5000,100,25.0,0.0,73.56,,highway,density-100
671.0,676.0,5000,100,25.0,0.0,73.56,,highway,density-100
676.0,681.0,5000,100,25.0,0.0,73.56,,highway,density-100
681.0,686.0,5000,100,25.0,0.0,73.56,,highway,density-100
686.0,691.0,5000,100,25.0,0.0,73.56,,highway,density-100
691.0,696.0,5000,100,25.0,0.0,73.56,,highway,density-100
696.0,701.0,5000,100,25.0,0.0,73.56,,highway,density-100
701.0,706.0,5000,100,25.0,0.0,73.56,,highway,density-100
706.0,711.0,5000,100,25.0,0.0,73.56,,highway,density-100
711.0,716.0,5000,100,25.0,0.0,73.56,,highway,density-100
716.0,721.0,5000,100,25.0,0.0,73.56,,highway,density-100
721.0,726.0,5000,100,25.0,0.0,73.56,,highway,density-100
726.0,731.0,5000,100,25.0,0.0,73.56,,highway,density-100
731.0,736.0,5000,100,25.0,0.0,73.56,,highway,density-100
736.0,741.0,5000,100,25.0,0.0,73.56,,highway,density-100
741.0,746.0,5000,100,25.0,0.0,73.56,,highway,density-100
746.0,751.0,5000,100,25.0,0.0,73.56,,highway,density-100
751.0,756.0,5000,100,25.0,0.0,73.56,,highway,density-100
756.0,761.0,5000,100,25.0,0.0,73.56,,highway,density-100
761.0,766.0,5000,100,25.0,0.0,73.56,,highway,density-100
766.0,771.0,5000,100,25.0,0.0,73.56,,highway,density-100
771.0,776.0,5000,100,25.0,0.0,73.56,,highway,density-100
776.0,781.0,5000,100,25.0,0.0,73.56,,highway,density-100
781.0,786.0,5000,100,25.0,0.0,73.56,,highway,density-100
786.0,791.0,5000,100,25.0,0.0,73.56,,highway,density-100
791.0,796.0,5000,100,25.0,0.0,73.56,,highway,density-100
796.0,801.0,5000,100,25.0,0.0,73.56,,highway,density-100
801.0,806.0,5000,100,25.0,0.0,73.56,,highway,density-100
806.0,811.0,5000,100,25.0,0.0,73.56,,highway,density-100
811.0,816.0,5000,100,25.0,0.0,73.56,,highway,density-100
816.0,821.0,5000,100,25.0,0.0,73.56,,highway,density-100
821.0,826.0,5000,100,25.0,0.0,73.56,,highway,density-100
826.0,831.0,5000,100,25.0,0.0,73.56,,highway,density-100
831.0,836.0,5000,100,25.0,0.0,73.56,,highway,density-100
836.0,841.0,5000,100,25.0,0.0,73.56,,highway,density-100
841.0,846.0,5000,100,25.0,0.0,73.56,,highway,density-100
846.0,851.0,5000,100,25.0,0.0,73.56,,highway,density-100
851.0,856.0,5000,100,25.0,0.0,73.56,,highway,density-100
856.0,861.0,5000,100,25.0,0.0,73.56,,highway,density-100
861.0,866.0,5000,100,25.0,0.0,73.56,,highway,density-100
866.0,871.0,5000,100,25.0,0.0,73.56,,highway,density-100
871.0,876.0,5000,100,25.0,0.0,73.56,,highway,density-100
876.0,881.0,5000,100,25.0,0.0,73.56,,highway,density-100
881.0,886.0,5000,100,25.0,0.0,73.56,,highway,density-100
886.0,891.0,5000,100,25.0,0.0,73.56,,highway,density-100
891.0,896.0,5000,100,25.0,0.0,73.56,,highway,density-100
896.0,901.0,4000,100,25.0,0.0,73.56,,highway,density-100
1.0,6.0,7499,150,25.0,0.0,81.6884502534009,,highway,density-150
6.0,11.0,7500,150,25.0,0.0,81.68,,highway,density-150
11.0,16.0,7500,150,25.0,0.0,81.68,,highway,density-150
16.0,21.0,7500,150,25.0,0.0,81.68,,highway,density-150
21.0,26.0,7500,150,25.0,0.0,81.68,,highway,density-150
26.0,31.0,7500,150,25.0,0.0,81.68,,highway,density-150
31.0,36.0,7500,150,25.0,0.0,81.68,,highway,density-150
36.0,41.0,7500,150,25.0,0.0,81.68,,highway,density-150
41.0,46.0,7500,150,25.0,0.0,81.68,,highway,density-150
46.0,51.0,7500,150,25.0,0.0,81.68,,highway,density-150
